Term,Course Code,Section,CRN,Course Name,Time,Days,Location,Instructor
Fall,CS 201R,B2,10203,Programming Fundamentals Recitation,12:40 pm - 2:30 pm,R,Fac. of Engin. and Nat. Sci. G032,Saima   Gül
Fall,CS 201R,B3,10204,Programming Fundamentals Recitation,12:40 pm - 2:30 pm,R,Sabancı Business School G098,Saima   Gül
Fall,CS 201R,B4,10207,Programming Fundamentals Recitation,12:40 pm - 2:30 pm,R,Fac. of Engin. and Nat. Sci. L063,Saima   Gül
Fall,CS 201R,C,10206,Programming Fundamentals Recitation,5:40 pm - 7:30 pm,F,Fac. of Engin. and Nat. Sci. G032,Saima   Gül
Fall,CS 201R,D1,10212,Programming Fundamentals Recitation,10:40 am - 12:30 pm,F,Sabancı Business School L018,Saima   Gül
Fall,CS 201R,D2,10214,Programming Fundamentals Recitation,10:40 am - 12:30 pm,F,Fac. of Engin. and Nat. Sci. L027,Saima   Gül
Fall,CS 204,0,10218,Advanced Programming,3:40 pm - 5:30 pm,M,University Center G030,Kamer   Kaya
Fall,CS 204,0,10218,Advanced Programming,12:40 pm - 1:30 pm,W,University Center G030,Kamer   Kaya
Fall,CS 204L,A1,10221,Advanced Programming Lab,10:40 am - 12:30 pm,F,Fac. of Engin. and Nat. Sci. L065,Kamer   Kaya
Fall,CS 204L,A2,10222,Advanced Programming Lab,10:40 am - 12:30 pm,F,Fac. of Engin. and Nat. Sci. L058,Kamer   Kaya
Fall,CS 204L,B1,10223,Advanced Programming Lab,12:40 pm - 2:30 pm,F,Fac. of Engin. and Nat. Sci. L027,Kamer   Kaya
Fall,CS 204L,B2,10225,Advanced Programming Lab,12:40 pm - 2:30 pm,F,Fac. of Engin. and Nat. Sci. L058,Kamer   Kaya
Fall,CS 204L,C1,10226,Advanced Programming Lab,2:40 pm - 4:30 pm,F,Fac. of Engin. and Nat. Sci. G032,Kamer   Kaya
Fall,CS 204L,C2,10227,Advanced Programming Lab,2:40 pm - 4:30 pm,F,Fac. of Engin. and Nat. Sci. L027,Kamer   Kaya
Fall,CS 300,0,12538,Data Structures,12:40 pm - 2:30 pm,T,University Center G030,Cemal   Yılmaz
Fall,CS 300,0,12538,Data Structures,2:40 pm - 3:30 pm,F,Sabancı Business School G071,Cemal   Yılmaz
Fall,CS 300R,A1,10101,Data Structures-Recitation,5:40 pm - 7:30 pm,M,Fac. of Engin. and Nat. Sci. G032,Cemal   Yılmaz
Fall,CS 300R,A2,10103,Data Structures-Recitation,5:40 pm - 7:30 pm,M,Fac. of Engin. and Nat. Sci. G035,Cemal   Yılmaz
Fall,CS 300R,B1,10104,Data Structures-Recitation,5:40 pm - 7:30 pm,T,Fac. of Engin. and Nat. Sci. G032,Cemal   Yılmaz
